name,type,amount,tags
Rent,expense,1500,"{""frequency"": ""Recurring"", ""importance"": [""Need""]}"
Groceries,expense,320,"{""frequency"": ""Recurring"", ""importance"": [""Need""]}"
Gym Membership,expense,50,"{""frequency"": ""Recurring"", ""importance"": [""Want""]}"
Netflix Subscription,expense,15,"{""frequency"": ""Recurring"", ""importance"": [""Want""]}"
Salary,income,4200,"{""frequency"": ""Recurring"", ""importance"": []}"
Freelance Project,income,600,"{""frequency"": ""Once-off"", ""importance"": []}"
Dining Out,expense,120,"{""frequency"": ""Once-off"", ""importance"": [""Want""]}"
Electricity Bill,expense,90,"{""frequency"": ""Recurring"", ""importance"": [""Need""]}"
Internet Bill,expense,70,"{""frequency"": ""Recurring"", ""importance"": [""Need""]}"
Car Insurance,expense,100,"{""frequency"": ""Recurring"", ""importance"": [""Need""]}"
New Laptop,expense,1300,"{""frequency"": ""Once-off"", ""importance"": [""Want""]}"
Concert Ticket,expense,75,"{""frequency"": ""Once-off"", ""importance"": [""Want""]}"
Savings Deposit,income,500,"{""frequency"": ""Recurring"", ""importance"": []}"
Doctor Visit,expense,110,"{""frequency"": ""Once-off"", ""importance"": [""Need""]}"
Uber Rides,expense,60,"{""frequency"": ""Once-off"", ""importance"": [""Want""]}"
Gift for Friend,expense,45,"{""frequency"": ""Once-off"", ""importance"": [""Want""]}"
Water Bill,expense,40,"{""frequency"": ""Recurring"", ""importance"": [""Need""]}"
